População residente - 1º de julho - estimativas
Sigla;Código;Região;1995;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2008;2009;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
CO;5;Região Centro-oeste;10272650;10769249;10994821;11220742;11447472;11885529;12101540;12317271;12760734;13020767;13269517;13695949;13895375;14244192;14419229;14993191;15219608;15442232;15660988;15875907;16085885;16297074;16504303;16707336;
N;1;Região Norte;11158998;11604158;11868725;12133705;12399633;13245084;13504599;13784881;14373260;14698878;15022060;15142686;15359608;16095187;16303145;16983484;17231027;17472636;17707783;17936201;18182253;18430980;18672591;18906962;
NE;2;Região Nordeste;44974707;45334385;45811342;46289042;46768451;48331186;48845112;49352225;50424713;51019091;51609027;53080679;53591197;53501859;53907144;55794707;56186190;56559481;56915936;57254159;56760780;57071654;57374243;57667842;
S;4;Região Sul;23128026;23862664;24154080;24445950;24738865;25453264;25734253;26025091;26635629;26973511;27308863;27497986;27719118;27562433;27708514;28795762;29016114;29230180;29439773;29644948;29754036;29975984;30192315;30402587;
SE;3;Região Sudeste;66288059;68065957;68961343;69858115;70758097;73470763;74447456;75391969;77374720;78472017;79561095;80187706;80915332;80975616;81565983;84465570;85115623;85745520;86356952;86949714;87711946;88371433;89012240;89632912;
